eventId,seatNumber,row,level,section,status,eventDate,sellRank,hasUpsells
95,0,23,y,o,OPEN,2025-01-01 00:00:00,0,false
135,56,35,I,f,OPEN,2025-03-19 00:00:00,56,true
121,24,39,K,a,SOLD,2025-02-17 00:00:00,24,false
148,74,37,K,V,OPEN,2025-03-26 00:00:00,74,true
110,56,29,t,G,OPEN,2025-03-18 00:00:00,56,true
148,4,37,C,J,OPEN,2025-03-26 00:00:00,4,true
1,35,31,R,y,OPEN,2025-02-22 00:00:00,35,true
115,65,2,u,e,OPEN,2025-02-04 00:00:00,65,false
107,58,37,c,F,SOLD,2025-01-05 00:00:00,58,false
45,6,34,A,Y,SOLD,2025-01-14 00:00:00,6,true
7,85,5,L,T,HOLD,2025-03-05 00:00:00,85,true
24,54,31,A,i,OPEN,2025-02-10 00:00:00,54,true
44,63,13,V,y,SOLD,2025-02-18 00:00:00,63,false
55,17,26,s,j,SOLD,2025-03-11 00:00:00,17,true
24,60,6,O,a,OPEN,2025-01-27 00:00:00,60,true
136,19,32,t,W,OPEN,2025-02-06 00:00:00,19,false
25,86,27,B,A,OPEN,2025-02-07 00:00:00,86,false
62,49,5,h,E,SOLD,2025-02-21 00:00:00,49,false
12,92,30,l,K,SOLD,2025-03-17 00:00:00,92,true
39,10,24,Y,C,OPEN,2025-01-10 00:00:00,10,false
3,2,16,i,P,SOLD,2025-02-11 00:00:00,2,false
92,10,14,H,R,SOLD,2025-03-08 00:00:00,10,false
29,15,26,J,X,HOLD,2025-03-04 00:00:00,15,true
129,64,7,k,N,HOLD,2025-03-01 00:00:00,64,true
21,19,38,h,H,HOLD,2025-04-05 00:00:00,19,true
14,22,18,j,D,OPEN,2025-03-06 00:00:00,22,true
84,71,13,E,o,OPEN,2025-01-22 00:00:00,71,true
55,93,21,H,d,SOLD,2025-03-11 00:00:00,93,false
84,60,35,c,u,OPEN,2025-01-22 00:00:00,60,true
1,94,10,l,q,SOLD,2025-03-24 00:00:00,94,false
39,21,9,O,Q,SOLD,2025-01-10 00:00:00,21,false
122,28,19,o,C,SOLD,2025-02-03 00:00:00,28,true
44,56,15,U,d,SOLD,2025-03-03 00:00:00,56,false
12,36,19,l,j,HOLD,2025-03-17 00:00:00,36,false
46,20,4,Y,z,SOLD,2025-01-25 00:00:00,20,false
103,83,24,L,x,HOLD,2025-02-24 00:00:00,83,false
136,91,24,Z,I,OPEN,2025-02-06 00:00:00,91,false
148,42,6,V,I,SOLD,2025-03-26 00:00:00,42,true
115,9,39,X,K,OPEN,2025-03-13 00:00:00,9,true
6,0,30,E,U,SOLD,2025-01-07 00:00:00,0,false
